"User Institution ID","User Institution Name","latitude","longitude","active_person_count","total_ace","running_job_count"
"205","Kansas State U - Kansas State University","39.1886580000","-96.5810420000","1","0.873416931","1"
"209","U Louisville - University of Louisville","38.2175100000","-85.7611510000","5","219364.152473641","5"
"213","U New Orleans - University of New Orleans","29.9541680000","-90.0727850000","1","184968.619377378","5"
"216","Tulane U - Tulane University","29.9353880000","-90.1226750000","5","1977646.266142616","1"
"217","Xavier U - Xavier University of Louisiana","29.9652190000","-90.1069940000","3","29870.734294091","1"
"221","U Maine - University of Maine","44.8975300000","-68.6660230000","2","174396.531287042","1"
"222","Bowie State U - Bowie State University","39.0179880000","-76.7628970000","5","19906.294840601","15"
"225","Johns Hopkins U - Johns Hopkins University","39.3291480000","-76.6205250000","22","5511894.441325098","4"
"228","Morgan State U - Morgan State University","39.3460266000","-76.5827767000","1","256.285482562","1"
"229","U Maryland - University of Maryland, College Park","38.9908487000","-76.9441410000","15","2468984.839977540","1"
"230","U Maryland, Baltimore - University of Maryland, Baltimore","39.2553811000","-76.7076768000","2","13.974670908","1"
"231","U Maryland, Baltimore Co - University of Maryland, Baltimore County","39.2553811000","-76.7076768000","1","66938.923201696","6"
"234","Merrimack College - Merrimack College","42.6716200000","-71.1223400000","1","42211.491671345","3"
"235","Boston College - Boston College","42.3496340000","-71.0996880000","1","55593.861126707","1"
"236","Boston U - Boston University","42.3496340000","-71.0996880000","10","1650816.145735853","11"
"237","Brandeis U - Brandeis University","42.3662990000","-71.2578590000","8","9063889.824692744","2"
"238","Clark U - Clark University","42.2509770000","-71.8231690000","1","19363.902925946","2"
"240","Harvard U - Harvard University","42.3800977000","-71.1166286000","14","2885600.224592925","18"
"243","MIT - Massachusetts Institute of Technology","42.3605390000","-71.0900740000","79","23226629.359286293","1"
"245","Northeastern U - Northeastern University","42.3391030000","-71.0879910000","53","3577111.360658805","1"
"247","Smith College - Smith College","42.3178320000","-72.6387990000","1","0.998190779","1"
"248","U Mass, Dartmouth - University of Massachusetts, Dartmouth","41.6289670000","-71.0063390000","40","7099598.602532909","2"
"250","Tufts U - Tufts University","42.4070050000","-71.1193120000","9","306824.006488240","1"
"251","U Mass, Amherst - University of Massachusetts, Amherst","42.3948500000","-72.5220210000","3","30780.834737039","1"
"255","WPI - Worcester Polytechnic Institute","42.2729940000","-71.8106890000","9","423421.797991141","2"
"256","Calvin College - Calvin College","42.9311880000","-85.5879410000","1","5.240501590","1"
"257","Central Michigan U - Central Michigan University","43.5898020000","-84.7774900000","1","833.114979100","1"
"262","Michigan State U - Michigan State University","42.4409920000","-84.0254060000","23","19646267.889450371","1"
"263","Michigan Tech - Michigan Technological University","47.1188250000","-88.5472810000","3","410088.215110112","2"
"265","U Detroit Mercy - University of Detroit Mercy","42.4125590000","-83.1397140000","24","33133.570403643","1"
"267","Wayne State U - Wayne State University","42.3219680000","-83.2358290000","3","126952.024455674","1"
"268","W Michigan U - Western Michigan University","42.2831778000","-85.6152186000","1","0.249547694","2"
"274","Mississippi State U - Mississippi State University","33.4537470000","-88.7900490000","3","200357.601846652","1"
"280","U Missouri, Columbia - University of Missouri, Columbia","38.9470820000","-92.3287550000","8","1644672.905359036","1"
"281","Missouri S&T - Missouri University of Science and Technology","37.9536140000","-91.7770340000","5","679595.732734418","7"
"282","U Missouri, Kansas City - University of Missouri, Kansas City","39.0375780000","-94.5791080000","7","444652.068126520","1"
"284","Washington U - Washington University in St. Louis","38.6479700000","-90.3047800000","19","3112556.366585563","1"
"285","Montana State U - Montana State University","45.6665470000","-111.0481020000","4","346583.692058144","2"
"290","U Nebraska, Lincoln - University of Nebraska, Lincoln","40.8180330000","-96.7015370000","3","471746.334768232","2"
"292","UNLV - University of Nevada, Las Vegas","36.1082300000","-115.1396100000","8","598648.200137251","1"
"293","Dartmouth College - Dartmouth College","43.7050910000","-72.2886030000","2","445375.881215297","2"
"294","U New Hampshire - University of New Hampshire","43.1362410000","-70.9296220000","2","451754.819389855","1"
"299","NJIT - New Jersey Institute of Technology","40.7432140000","-74.1762580000","20","2063131.948343627","1"
"301","Princeton U - Princeton University","40.3440340000","-74.6569130000","21","22321558.799675587","2"
"305","Stevens Inst of Tech - Stevens Institute of Technology","40.7460800000","-74.0251970000","16","1124512.945286667","5"
"307","New Mexico Highlands U - New Mexico Highlands University","35.5946160000","-105.2189140000","1","139610.081726870","1"
"308","New Mexico Tech - New Mexico Institute of Mining and Technology","34.0648450000","-106.9031940000","4","326292.968993698","1"
"309","NM State U - New Mexico State University","32.2829890000","-106.7487540000","21","1385575.394597292","1"
"310","U New Mexico - University of New Mexico","35.0819280000","-106.6190020000","37","244255.037744088","5"
"312","CUNY - City University of New York","40.8204940000","-73.9483060000","7","159152.910349990","1"
"313","CUNY Brooklyn College - CUNY Brooklyn College","40.5770160000","-73.9352473000","3","159102.127394098","2"
"314","CUNY City College - CUNY The City College of New York","40.8166412000","-73.9514121000","3","521645.143177989","71"
"315","CUNY Hunter College - CUNY Hunter College","40.7690240000","-73.9651630000","4","8913.718884521","1"
"317","Clarkson U - Clarkson University","44.6637080000","-74.9785450000","15","182371.701291409","2"
"320","Columbia U - Columbia University in the City of New York","40.8082240000","-73.9618890000","67","53777473.703911660","5"
"321","Cooper Union College - Cooper Union College","40.8765649000","-77.8367282000","1","25954.332771851","3"
"325","Ithaca College - Ithaca College","42.4216700000","-76.5010820000","2","54.900492856","1"
"327","Manhattan College - Manhattan College","40.8901790000","-73.9019880000","3","444147.857009170","6"
"328","NYU - New York University","40.7294270000","-73.9973180000","23","459386.112670784","1"
"330","RPI - Rensselaer Polytechnic Institute","42.7300000000","-73.6775000000","16","2145866.866304822","1"
"332","RIT - Rochester Institute of Technology","43.0839390000","-77.6761910000","14","4151694.553621560","2"
"333","Rockefeller U - Rockefeller University","40.7626054000","-73.9554531000","1","42908.228835236","1"
"334","Skidmore College - Skidmore College","43.0987130000","-73.7843810000","9","149.978164576","3"
"338","SUNY Binghamton - SUNY at Binghamton","42.1337750000","-75.9626830000","31","7239099.257595607","1"
"339","SUNY Downstate Med Ctr - SUNY Downstate Health Sciences University","40.6548290000","-73.9441870000","5","98836.858194522","10"
"349","SUNY ESF - SUNY College of Environmental Science and Forestry","43.0339830000","-76.1392230000","1","11.728741655","1"
"355","Union College - Union College","42.8151460000","-73.9305130000","1","419991.265830681","4"
"357","U Rochester - University of Rochester","43.1206800000","-77.6266790000","4","5387994.634724561","2"
"361","NC A&T State U - North Carolina A&T State University","36.0778870000","-79.7708780000","4","274906.731549067","2"
"365","Duke U - Duke University","36.0005190000","-78.9388620000","10","664580.073616569","1"
"367","Fayetteville State U - Fayetteville State University","35.0714220000","-78.8941390000","6","6265.643521117","1"
"369","UNC Pembroke - University of North Carolina, Pembroke","34.6899580000","-79.2007760000","2","8505.084534281","2"
"371","NC State U - North Carolina State University","35.1374140000","-78.8752370000","21","2231249.734855574","3"
"372","UNC - University of North Carolina, Chapel Hill","35.9138430000","-79.0506010000","11","3131209.432902863","1"
"373","UNC Charlotte - University of North Carolina, Charlotte","35.3008330000","-80.7381150000","3","41034.125647264","2"
"374","UNC Greensboro - University of North Carolina, Greensboro","36.0778870000","-79.7708780000","1","143.739472206","1"
"379","CWRU - Case Western Reserve University","41.5043270000","-81.6095760000","9","325545.448873916","3"
"381","Cleveland State U - Cleveland State University","41.5091257000","-81.6089873000","1","67376.629858381","3"
"387","Oberlin College - Oberlin College","41.2929610000","-82.2218300000","2","260469.898309314","2"
"389","U Toledo - University of Toledo","41.6585890000","-83.6143270000","1","183586.249922016","1"
"390","Youngstown State U - Youngstown State University","41.1067590000","-80.6466740000","34","24306.569343065","1"
"393","Oregon State U - Oregon State University","44.5641010000","-123.2750430000","11","6014339.384864932","1"
"394","Portland State U - Portland State University","45.5115660000","-122.6858080000","4","80386.424605402","1"
"395","Reed College - Reed College","45.4820170000","-122.6326040000","3","1131747.208185164","1"
"396","U Oregon - University of Oregon","44.0438730000","-123.0727500000","1","5478.570091708","10"
"397","Allegheny College - Allegheny College","41.6481420000","-80.1459590000","3","21972.799301266","1"
"399","Bucknell U - Bucknell University","40.9568190000","-76.8876930000","2","3722.003867989","1"
"400","CMU - Carnegie Mellon University","40.4437580000","-79.9435540000","678","68503183.854264146","1"
"402","Chatham U - Chatham University","40.4491050000","-79.9258120000","5","139694.054526171","1"
"404","Drexel U - Drexel University","39.9545200000","-75.1886500000","19","247164.514317798","8"
"411","Haverford College - Haverford College","40.0104490000","-75.3058040000","1","591.053715141","2"
"412","Thomas Jefferson U - Thomas Jefferson University","39.9480960000","-75.1586760000","1","307016.657308628","805"
"415","Lehigh U - Lehigh University","40.6066550000","-75.3806480000","9","567468.837731611","1"
"425","Slippery Rock U - Slippery Rock University","41.0616740000","-80.0453920000","1","4.616632353","1"
"429","Swarthmore College - Swarthmore College","39.9058700000","-75.3548920000","4","953.396967995","3"
"430","Temple U - Temple University","39.9807070000","-75.1557260000","11","8699226.526919957","2"
"431","U Pennsylvania - University of Pennsylvania","39.9521970000","-75.1918490000","43","3012233.701416183","2"
"433","Ursinus College - Ursinus College","40.1945420000","-75.4570030000","1","381841.287666105","1"
"434","Villanova U - Villanova University","40.0362280000","-75.3416410000","11","119826.065256722","3"
"438","Brown U - Brown University","41.8261630000","-71.4032470000","17","266809.158400399","1"
"439","U Rhode Island - University of Rhode Island","41.4846450000","-71.5254950000","4","1061681.951462973","1"
"442","Med U of SC - Medical University of South Carolina","32.7871210000","-79.9525910000","1","39925.884334643","2"
"446","SD State U - South Dakota State University","42.7860350000","-96.9253400000","1","292.220350614","1"
"447","E Tenn State U - East Tennessee State University","35.9530440000","-83.9268180000","20","15795.370890261","2"
"449","Middle Tenn State U - Middle Tennessee State University","35.8432910000","-86.3701410000","43","226326.782706344","5"
"452","Tennessee Tech - Tennessee Technological University","35.9812420000","-85.0038110000","2","55.025266704","1"
"453","NICS - University of Tennessee, Knoxville","35.9496697000","-83.9294330000","20","4868958.387921891","1"
"455","Vanderbilt U - Vanderbilt University","36.1418890000","-86.7986760000","10","756347.994260403","1"
"456","Texas A&M Commerce - Texas A&M University, Commerce","33.2447960000","-95.9114550000","1","49.410443571","1"
"457","UT Dallas - University of Texas at Dallas","32.9878400000","-96.7506920000","19","2742765.612327656","1"
"458","Lamar U - Lamar University","30.0424740000","-94.0725350000","4","1567.409071058","3"
"459","U North Texas - University of North Texas","33.2113630000","-97.1467300000","10","358927.818329278","2"
"460","UT Rio Grande Valley - University of Texas Rio Grande Valley","32.2755210000","-106.7355870000","4","112572.212864183","2"
"461","Rice U - Rice University","29.7180610000","-95.4029090000","21","7478492.856697236","1"
"463","S Methodist U - Southern Methodist University","32.8441140000","-96.7848740000","1","1830.307567533","2"
"465","Prairie View A&M - Prairie View A&M University","30.6186470000","-96.3360510000","34","209445.879343689","1"
"467","TAMU - Texas A&M University","30.6186470000","-96.3360510000","78","8555008.796556241","1"
"469","Texas A&M Kingsville - Texas A&M University, Kingsville","27.5257060000","-97.8824400000","2","269.885831929","2"
"470","Texas Southern U - Texas Southern University","29.7223280000","-95.3588740000","2","513.444382057","1"
"471","Texas Tech U - Texas Tech University","33.5923280000","-101.8963480000","14","22511267.827063447","1"
"473","U Houston - University of Houston","29.7214300000","-95.3418530000","11","390955.019028011","2"
"474","UT Arlington - University of Texas at Arlington","32.7293990000","-97.1151790000","84","6104494.728304947","4"
"476","TACC - University of Texas at Austin","30.2857580000","-97.7358800000","65","15674222.346996069","4"
"477","UT El Paso - University of Texas at El Paso","31.8368720000","-106.5165250000","137","321709.401709401","12"
"479","U Utah - University of Utah","40.7652220000","-111.8442520000","13","4144632.353858631","2"
"483","U Vermont - University of Vermont","44.4797940000","-73.1959240000","2","33003.181733108","5"
"487","ODU - Old Dominion University","36.8899770000","-76.3046640000","1","1905.795745211","1"
"492","U Virginia - University of Virginia","38.0356050000","-78.5060260000","9","12237241.375007798","1"
"494","George Mason U - George Mason University","38.8298280000","-77.3072230000","9","1641357.414685881","1"
